ID,Name,play_debut
azcuj101,Joe Azcue,08/03/1960
azoco001,Oscar Azocar,07/17/1990
babbc101,Charlie Babb,04/17/1903
babcb101,Bob Babcock,07/22/1979
babel101,Loren Babe,08/19/1952
babic101,Charlie Babington,07/20/1915
babij101,Johnny Babich,06/19/1934
babis101,Shooty Babitt,04/09/1981
backb001,Brandon Backe,07/19/2002
backl101,Les Backman,07/03/1909
backw001,Wally Backman,09/02/1980
bacoe101,Eddie Bacon,08/13/1917
bacsm001,Michael Bacsik,08/05/2001
bacsm101,Mike Bacsik,06/15/1975
bacud001,Dakota Bacus,08/09/2020
baczf101,Fred Baczewski,04/26/1953
badea101,Art Bader,08/02/1904
badeb001,Burke Badenhop,04/09/2008
badeh001,Harrison Bader,07/25/2017
badek101,King Bader,09/30/1912
badgr101,Red Badgro,06/20/1929
baece101,Ed Baecht,04/24/1926
baekc001,Cha-Seung Baek,08/08/2004
baerc001,Carlos Baerga,04/14/1990
baezb001,Benito Baez,08/25/2001
baezd001,Danys Baez,05/13/2001
baezj001,Javier Baez,08/05/2014
baezj101,Jose Baez,04/06/1977
baezk001,Kevin Baez,09/03/1990
baezm001,Michel Baez,07/23/2019
baezp001,Pedro Baez,05/05/2014
baezs001,Sandy Baez,06/04/2018
bagbj101,Jim Bagby,04/22/1912
bagbj102,Jim Bagby,04/18/1938
bagwb101,Bill Bagwell,04/17/1923
bagwj001,Jeff Bagwell,04/08/1991
bahns101,Stan Bahnsen,09/09/1966
bahre101,Ed Bahr,05/01/1946
bahrf101,Frank Bahret,04/17/1884
baicg101,Grover Baichley,08/24/1914
baila001,Andrew Bailey,04/06/2009
bailb001,Bob Bailor,09/06/1975
bailb002,Brandon Bailey,07/26/2020
bailb101,Bill Bailey,09/11/1907
bailb102,Bill Bailey,04/21/1911
bailb103,Bob Bailey,09/14/1962
bailc001,Cory Bailey,09/01/1993
baile101,Ed Bailey,09/26/1953
bailf101,Fred Bailey,08/19/1916
bailg101,Gene Bailey,09/10/1917
bailh001,Homer Bailey,06/08/2007
bailh101,Howard Bailey,04/12/1981
bailh102,Harvey Bailey,06/30/1899
bailj001,Jeff Bailey,07/06/2007
bailj101,Jim Bailey,09/10/1959
bailk101,King Bailey,09/21/1895
bailm001,Mark Bailey,04/27/1984
bailr001,Roger Bailey,04/27/1995
bails001,Scott Bailes,04/09/1986
bails101,Sweetbread Bailey,05/23/1919
bails102,Steve Bailey,04/14/1967
bainh001,Harold Baines,04/10/1980
bainl101,Loren Bain,06/23/1945
baira101,Al Baird,09/10/1917
bairb101,Bob Baird,09/03/1962
baird001,Doug Bair,09/13/1976
