Link,Name,From-Team,From-Franchise,# Transactions,# Players Traded Away,# Players Traded For,# Players Total,First Year,Last Year,Year Span,Ongoing,Comp Picks,total_WAR_out,total_WAR_in,WAR_total,total_G_out,total_G_in,G_total,total_PA_out,total_PA_in,PA_total,total_IP_out,total_IP_in,IP_total,total_salary_out,total_salary_in,salary_total
<a href=/player/porta101>porta101</a>,Arnie Portocarrero,Kansas City Athletics,ATLTCS,2,2,3,5,1958,1963,5,No,0,1.35,5.09,3.74,304,388,84,195,561,366,1819.0,1969.0,150.0,0.0,0.0,0.0
<a href=/player/portb102>portb102</a>,Bob Porterfield,New York Yankees,YANKS,1,3,1,4,1951,1954,3,No,0,18.48,1.84,-16.64,407,209,-198,444,108,-336,3513.0,1042.0,-2471.0,11500.0,0.0,-11500.0
<a href=/player/portb102>portb102</a>,Bob Porterfield,Washington Senators,TWINS,7,16,14,30,1955,1963,8,No,0,11.54,-1.9,-13.44,1150,1625,475,3478,3777,299,832.0,1792.0,960.0,17500.0,0.0,-17500.0
<a href=/player/portd001>portd001</a>,Darrell Porter,Milwaukee Brewers,BREWRS,3,4,6,10,1976,1986,10,No,0,23.16,4.69,-18.47,1350,684,-666,3618,973,-2645,1204.0,2526.0,1322.0,487500.0,0.0,-487500.0
<a href=/player/portd101>portd101</a>,Dick Porter,Baltimore,Baltimore,1,1,1,2,1928,1928,0,No,0,7.88,0.0,-7.88,596,0,-596,2556,0,-2556,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/portd101>portd101</a>,Dick Porter,Cleveland Indians,INDINS,3,6,5,11,1934,1940,6,No,0,24.33,10.74,-13.59,727,766,39,1921,2878,957,2729.0,210.0,-2519.0,10500.0,0.0,-10500.0
<a href=/player/portj101>portj101</a>,JW Porter,Chicago White Sox,WSOX,8,14,15,29,1952,1969,17,No,0,11.54,36.17,24.63,1591,2618,1027,4750,8911,4161,1710.0,1860.0,150.0,87250.0,0.0,-87250.0
<a href=/player/portj101>portj101</a>,JW Porter,St.Louis Browns,ORLS,29,63,61,124,1952,1994,42,No,3,108.88,170.74,61.86,6500,10285,3785,14305,30002,15697,22658.0,18329.0,-4329.0,980833.0,0.0,-980833.0
<a href=/player/portj101>portj101</a>,JW Porter,Detroit Tigers,TIGRS,3,4,5,9,1958,1968,10,No,0,1.32,14.68,13.36,168,713,545,243,528,285,332.0,3536.0,3204.0,0.0,0.0,0.0
<a href=/player/portj101>portj101</a>,JW Porter,Cleveland Indians,INDINS,5,9,8,17,1958,1965,7,No,0,17.68,1.46,-16.22,1632,479,-1153,4130,1716,-2414,3556.0,132.0,-3424.0,7500.0,0.0,-7500.0
<a href=/player/portm001>portm001</a>,Mark Portugal,Minnesota Twins,TWINS,1,1,1,2,1988,1988,0,No,0,10.65,0.0,-10.65,271,0,-271,282,0,-282,2347.0,0.0,-2347.0,68800.0,0.0,-68800.0
<a href=/player/portm001>portm001</a>,Mark Portugal,San Francisco Giants,GIANTS,3,5,8,13,1995,1998,3,No,0,9.99,0.74,-9.25,311,256,-55,447,555,108,1958.0,96.0,-1862.0,5827778.0,0.0,-5827778.0
<a href=/player/porzm001>porzm001</a>,Mike Porzio,Atlanta Braves,BRAVES,1,2,1,3,1998,1998,0,No,0,1.03,0.19,-0.84,187,28,-159,2,49,47,290.0,0.0,-290.0,0.0,0.0,0.0
<a href=/player/posal101>posal101</a>,Leo Posada,Kansas City Athletics,ATLTCS,1,2,1,3,1962,1965,3,No,0,0.0,6.11,6.11,0,202,202,0,205,205,0.0,1684.0,1684.0,0.0,0.0,0.0
<a href=/player/poseb102>poseb102</a>,Bill Posedel,Brooklyn Dodgers,DOGRS,3,5,4,9,1939,1949,10,No,0,0.18,4.06,3.88,452,709,257,1041,2346,1305,1618.0,101.0,-1517.0,10000.0,0.0,-10000.0
<a href=/player/poseb102>poseb102</a>,Bill Posedel,Portland,Portland,1,1,1,2,1936,1936,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/poses001>poses001</a>,Scott Pose,Cleveland Indians,INDINS,1,1,1,2,1996,1996,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/postw101>postw101</a>,Wally Post,Cincinnati Reds,REDS,5,8,12,20,1957,1965,8,No,0,66.28,13.33,-52.95,3412,1144,-2268,10935,1792,-9143,2563.0,1487.0,-1076.0,0.0,0.0,0.0
<a href=/player/postw101>postw101</a>,Wally Post,Philadelphia Phillies,PHILS,1,3,2,5,1960,1968,8,No,0,5.52,24.2,18.68,336,1274,938,998,4678,3680,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/potel001>potel001</a>,Lou Pote,San Francisco Giants,GIANTS,1,1,1,2,1995,1995,0,No,0,0.0,-0.63,-0.63,0,10,10,0,1,1,0.0,15.0,15.0,0.0,0.0,0.0
<a href=/player/pottm101>pottm101</a>,Mike Potter,St. Louis Cardinals,CARDS,1,1,1,2,1978,1979,1,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/pottn101>pottn101</a>,Nellie Pott,Cleveland Indians,INDINS,1,5,1,6,1922,1935,13,No,0,0.0,5.93,5.93,0,850,850,0,2604,2604,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/pounb001>pounb001</a>,Brooks Pounders,Pittsburgh Pirates,PIRATS,2,3,2,5,2011,2012,1,No,0,-0.43,-0.15,0.28,21,29,8,31,56,25,38.0,0.0,-38.0,483000.0,0.0,-483000.0
<a href=/player/pounb001>pounb001</a>,Brooks Pounders,Kansas City Royals,ROYALS,1,1,1,2,2016,2016,0,Yes,0,-0.4,0.0,0.4,11,0,-11,0,0,0,31.0,0.0,-31.0,0.0,0.0,0.0
<a href=/player/pounb101>pounb101</a>,Bill Pounds,Brooklyn Dodgers,DOGRS,1,4,1,5,1903,1908,5,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/povsm001>povsm001</a>,Max Povse,Atlanta Braves,BRAVES,2,3,3,6,2016,2021,5,Yes,0,-0.2,0.58,0.78,48,74,26,123,266,143,45.0,0.0,-45.0,0.0,0.0,0.0
