ID,Last,First,nickname,play_debut,HOF
andeg001,Anderson,Garret Joseph,Garret,07/27/1994,NOT
andeg101,Anderson,Edward John,Goat,04/11/1907,NOT
andeg102,Anderson,George Jendrus,George,05/26/1914,NOT
andeh101,Anderson,Harry Walter,Harry,04/18/1957,NOT
andeh102,Anderson,Harold,Hal,04/12/1932,NOT
andei001,Anderson,Ian Theodore,Ian,08/26/2020,
andej001,Anderson,James Lea,Jim,07/02/1978,NOT
andej002,Anderson,James Drew,Jimmy,07/04/1999,NOT
andej003,Anderson,Jason Roger,Jason,03/31/2003,NOT
andej004,Anderson,Joshua Aaron,Josh,09/02/2007,NOT
andej005,Anderson,Justin Charles,Justin,04/23/2018,NOT
andej101,Anderson,John Joseph,John,09/08/1894,NOT
andej102,Anderson,John Charles,John,08/17/1958,NOT
andek001,Anderson,Kent McKay,Kent,04/15/1989,NOT
andel001,Andersen,Larry Eugene,Larry,09/05/1975,NOT
andel002,Anderson,Lars Eric,Lars,09/06/2010,NOT
andel101,Anderson,Lawrence Dennis,Larry,09/25/1974,NOT
andem001,Anderson,Michael James,Mike,09/07/1993,NOT
andem002,Anderson,Matthew Jason,Matt,06/25/1998,NOT
andem003,Anderson,Marlon Ordell,Marlon,09/08/1998,NOT
andem101,Anderson,Michael Allen,Mike,09/02/1971,NOT
anden001,Anderson,Nick Paul,Nick,03/28/2019,
ander001,Anderson,Richard Arlen,Rick,06/09/1986,NOT
ander101,Anderson,Richard Lee,Rick,09/18/1979,NOT
ander102,Anderson,Arnold Revola,Red,09/19/1937,NOT
andes001,Anderson,Scott Richard,Scott,04/08/1987,NOT
andes002,Anderson,Shaun,Shaun,05/15/2019,
andes101,Anderson,George Lee,Sparky,04/10/1959,HOF
andet001,Anderson,Timothy Devon,Tim,06/10/2016,NOT
andet002,Anderson,Tyler John,Tyler,06/12/2016,NOT
andet003,Anderson,Tanner Ackley,Tanner,07/02/2018,NOT
andev101,Anderson,Warner Samuel,Varney,08/01/1889,NOT
andew101,Anderson,Wingo Charlie,Wingo,04/16/1910,NOT
andew102,Anderson,Walter Carl,Walter,05/14/1917,NOT
andir001,Andino,Robert Lazaro,Robert,09/04/2005,NOT
andrb101,Andrus,William Morgan,Bill,09/19/1931,NOT
andrc001,Andrews,Clayton John,Clayton,04/16/2000,NOT
andre001,Andrus,Elvis Augusto (Torres),Elvis,04/06/2009,NOT
