signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Cory Luebke,Alan Embree,2007,Cory,Luebke,Alan,Embree,luebc001,embra001
Danny Payne,Ryan Klesko,2007,Danny,Payne,Ryan,Klesko,Danny Payne,klesr001
Jordan Zimmermann,Alfonso Soriano,2007,Jordan,Zimmermann,Alfonso,Soriano,zimmj003,soria001
David Kopp,Jeff Suppan,2007,David,Kopp,Jeff,Suppan,David Kopp,suppj001
Grant Desme,Barry Zito,2007,Grant,Desme,Barry,Zito,Grant Desme,zitob001
Scott Moviel,Roberto Hernandez,2007,Scott,Moviel,Roberto,Hernandez,Scott Moviel,hernr001
Eric Sogard,Woody Williams,2007,Eric,Sogard,Woody,Williams,sogae001,willw001
Eric Eiland,Justin Speier,2007,Eric,Eiland,Justin,Speier,Eric Eiland,speij001
Eric Niesen,Chad Bradford,2007,Eric,Niesen,Chad,Bradford,Eric Niesen,bradc001
Scott Carroll,Rich Aurilia,2007,Scott,Carroll,Rich,Aurilia,carrs001,aurir001
Jonathan Pettibone,David Dellucci,2007,Jonathan,Pettibone,David,Dellucci,pettj001,delld001
Corey Kluber,Dave Roberts,2007,Corey,Kluber,Dave,Roberts,klubc001,robed001
Ike Davis,Tom Glavine,2008,Ike,Davis,Tom,Glavine,davii001,glavt001
Carlos Gutierrez,Torii Hunter,2008,Carlos,Gutierrez,Torii,Hunter,Carlos Gutierrez,huntt001
Shooter Hunt,Torii Hunter,2008,Shooter,Hunt,Torii,Hunter,Shooter Hunt,huntt001
Jake Odorizzi,Francisco Cordero,2008,Jake,Odorizzi,Francisco,Cordero,odorj001,cordf002
Zach Collier,Aaron Rowand,2008,Zach,Collier,Aaron,Rowand,Zach Collier,rowaa001
Evan Frederickson,Scott Linebrink,2008,Evan,Frederickson,Scott,Linebrink,Evan Frederickson,lines001
Conor Gillaspie,Pedro Feliz,2008,Conor,Gillaspie,Pedro,Feliz,gillc001,felip001
Jordan Lyles,Trever Miller,2008,Jordan,Lyles,Trever,Miller,lylej001,millt002
Lance Lynn,Troy Percival,2008,Lance,Lynn,Troy,Percival,lynnl001,perct001
Brett DeVall,Ron Mahay,2008,Brett,DeVall,Ron,Mahay,Brett DeVall,mahar001
Ryan Flaherty,Jason Kendall,2008,Ryan,Flaherty,Jason,Kendall,flahr001,kendj001
Wade Miley,Livan Hernandez,2008,Wade,Miley,Livan,Hernandez,milew001,hernl003
Jeremy Bleich,Luis Vizcaino,2008,Jeremy,Bleich,Luis,Vizcaino,bleij001,vizcl001
Bryan Price,Eric Gagne,2008,Bryan,Price,Eric,Gagne,pricb001,gagne001
Logan Forsythe,Doug Brocail,2008,Logan,Forsythe,Doug,Brocail,forsl001,brocd001
Anthony Gose,Aaron Rowand,2008,Anthony,Gose,Aaron,Rowand,gosea001,rowaa001
AJ Pollock,Orlando Hudson,2009,AJ,Pollock,Orlando,Hudson,AJ Pollock,hudso001
Randal Grichuk,Francisco Rodriguez,2009,Randal,Grichuk,Francisco,Rodriguez,gricr001,rodrf003
Mike Trout,Mark Teixeira,2009,Mike,Trout,Mark,Teixeira,troum001,teixm001
Nick Franklin,Raul Ibanez,2009,Nick,Franklin,Raul,Ibanez,frann001,ibanr001
Tim Wheeler,Brian Fuentes,2009,Tim,Wheeler,Brian,Fuentes,Tim Wheeler,fuenb001
Steven Baron,Raul Ibanez,2009,Steven,Baron,Raul,Ibanez,Steven Baron,ibanr001
